pos,pos_group,token_str,term_str
NN,NN,crop,crop
CC,CC,and,and
NN,NN,pollinator,pollinator
NN,NN,disease,disease
NN,NN,management,management
DT,DT,The,the
NN,NN,loss,loss
IN,IN,of,of
DT,DT,this,this
NN,NN,tool,tool
JJ,JJ,due,due
TO,TO,to,to
JJ,JJ,antibiotic,antibiotic
NN,NN,resistance,resistance
MD,MD,will,will
VB,VB,result,result
IN,IN,in,in
JJR,JJ,higher,higher
NN,NN,mortality,mortality
CC,CC,and,and
NN,NN,morbidity,morbidity
CC,CC,but,but
RB,RB,also,also
JJ,JJ,deny,deny
NN,NN,access,access
TO,TO,to,to
JJ,JJ,many,many
JJ,JJ,routine,routine
JJ,JJ,medical,medical
NNS,NN,procedures,procedures
IN,IN,for,for
NN,NN,risk,risk
IN,IN,of,of
RB,RB,subsequently,subsequently
JJ,JJ,untreatable,untreatable
NNS,NN,infections,infections
JJ,JJ,Antibiotic,antibiotic
NNS,NN,resistances,resistances
RB,RB,also,also
VBP,VB,threaten,threaten
JJ,JJ,agricultural,agricultural
NN,NN,productivity,productivity
IN,IN,Despite,despite
IN,IN,over,over
DT,DT,a,a
JJ,JJ,half,half
NN,NN,century,century
IN,IN,of,of
NN,NN,warning,warning
DT,DT,neither,neither
NN,NN,science,science
CC,CC,nor,nor
JJ,JJ,public,public
CC,CC,and,and
JJ,JJ,private,private
NN,NN,innovation,innovation
NNS,NN,strategies,strategies
VBP,VB,have,have
VBN,VB,managed,managed
TO,TO,to,to
VB,VB,avert,avert
DT,DT,the,the
NN,NN,threat,threat
IN,IN,of,of
DT,DT,a,a
JJ,JJ,post-antibiotic,postantibiotic
NN,NN,era,era
CD,CD,One,one
NN,NN,stewardship,stewardship
NN,NN,strategy,strategy
VBZ,VB,is,is
NN,NN,reduction,reduction
IN,IN,of,of
NN,NN,use,use
WDT,WD,which,which
MD,MD,might,might
VB,VB,help,help
VB,VB,increase,increase
NN,NN,longevity,longevity
IN,IN,If,if
NNS,NN,bacteria,bacteria
RB,RB,almost,almost
RB,RB,never,never
JJ,JJ,encounter,encounter
NNS,NN,antibiotics,antibiotics
IN,IN,at,at
NNS,NN,concentrations,concentrations
JJ,JJ,high,high
RB,RB,enough,enough
TO,TO,to,to
VB,VB,harm,harm
PRP,PR,them,them
EX,EX,there,there
MD,MD,would,would
VB,VB,be,be
JJ,JJ,little,little
NN,NN,opportunity,opportunity
IN,IN,for,for
JJ,JJ,resistant,resistant
NNS,NN,variants,variants
TO,TO,to,to
VB,VB,emerge,emerge
CC,CC,and,and
VB,VB,establish,establish
VBN,VB,Based,based
IN,IN,on,on
DT,DT,this,this
PRP,PR,it,it
VBZ,VB,has,has
VBN,VB,been,been
VBN,VB,suggested,suggested
IN,IN,that,that
JJ,JJ,judicious,judicious
CC,CC,and,and
JJ,JJ,low,low
NN,NN,use,use
IN,IN,of,of
NNS,NN,antibiotics,antibiotics
WDT,WD,that,that
VBZ,VB,keeps,keeps
RBS,RB,most,most
JJ,JJ,antibiotic,antibiotic
NNS,NN,exposures,exposures
TO,TO,to,to
JJR,JJ,less,less
IN,IN,than,than
DT,DT,the,the
JJ,JJ,minimum,minimum
JJ,JJ,inhibitory,inhibitory
NN,NN,concentration,concentration
NNP,NN,MIC,mic
MD,MD,should,should
VB,VB,preserve,preserve
JJ,JJ,antibiotic,antibiotic
NN,NN,susceptibility,susceptibility
IN,IN,in,in
NNS,NN,bacteria,bacteria
IN,IN,In,in
NN,NN,practice,practice
DT,DT,the,the
JJS,JJ,lowest,lowest
NN,NN,concentration,concentration
IN,IN,of,of
JJ,JJ,antibiotic,antibiotic
VBG,VB,leading,leading
TO,TO,to,to
DT,DT,the,the
NN,NN,evolution,evolution
IN,IN,of,of
NN,NN,resistance,resistance
IN,IN,in,in
DT,DT,a,a
VBN,VB,given,given
NN,NN,environment,environment
DT,DT,the,the
RB,RB,so,so
JJ,JJ,called,called
JJ,JJ,minimum,minimum
JJ,JJ,selective,selective
NN,NN,concentration,concentration
NNP,NN,MSC,msc
MD,MD,can,can
VB,VB,be,be
RB,RB,much,much
JJR,JJ,lower,lower
IN,IN,than,than
DT,DT,the,the
NNP,NN,MIC,mic
VBG,VB,Keeping,keeping
DT,DT,the,the
NN,NN,use,use
IN,IN,of,of
NNS,NN,antibiotics,antibiotics
TO,TO,to,to
IN,IN,below,below
NNP,NN,MSC,msc
NNS,NN,concentrations,concentrations
VBZ,VB,is,is
RBR,RB,more,more
JJ,JJ,challenging,challenging
RB,RB,still,still
NNS,NN,Herbicides,herbicides
MD,MD,can,can
VB,VB,change,change
NNS,NN,responses,responses
TO,TO,to,to
NNS,NN,antibiotics,antibiotics
JJ,JJ,Solid,solid
NNS,NN,curves,curves
VBP,VB,indicate,indicate
NN,NN,survival,survival
IN,IN,as,as
DT,DT,a,a
NN,NN,function,function
IN,IN,of,of
RB,RB,only,only
JJ,JJ,antibiotic,antibiotic
NN,NN,concentration,concentration
VBG,VB,intersecting,intersecting
DT,DT,the,the
NNS,NN,x-axes,xaxes
IN,IN,at,at
DT,DT,the,the
NNP,NN,MIC,mic
VBN,VB,Dashed,dashed
NNS,NN,curves,curves
VBP,VB,show,show
NNS,NN,herbicides,herbicides
DT,DT,A,a
VBG,VB,increasing,increasing
DT,DT,the,the
NNP,NN,MIC,mic
NNP,NN,B,b
VBG,VB,decreasing,decreasing
DT,DT,the,the
NNP,NN,MIC,mic
CC,CC,and,and
NNP,NN,C,c
VBG,VB,having,having
DT,DT,no,no
NN,NN,effect,effect
IN,IN,on,on
NNP,NN,MIC,mic
CC,CC,but,but
VBG,VB,altering,altering
NN,NN,population,population
NN,NN,survival,survival
IN,IN,at,at
JJ,JJ,antibiotic,antibiotic
NNS,NN,concentrations,concentrations
NN,NN,below-MIC,belowmic
DT,DT,The,the
JJ,JJ,hypothetical,hypothetical
NNP,NN,MSC,msc
VBZ,VB,is,is
DT,DT,the,the
NN,NN,point,point
IN,IN,of,of
NN,NN,divergence,divergence
IN,IN,of,of
JJ,JJ,solid,solid
CC,CC,and,and
JJ,JJ,dashed,dashed
NNS,NN,curves,curves
CC,CC,and,and
DT,DT,the,the
NN,NN,area,area
IN,IN,in,in
JJ,JJ,gray,gray
NNS,NN,illustrates,illustrates
DT,DT,all,all
JJ,JJ,antibiotic,antibiotic
NNS,NN,concentrations,concentrations
WRB,WR,where,where
DT,DT,the,the
NN,NN,herbicide,herbicide
VBZ,VB,changes,changes
DT,DT,the,the
NN,NN,response,response
TO,TO,to,to
NNS,NN,antibiotics,antibiotics
NN,NN,Variation,variation
IN,IN,in,in
JJ,JJ,antibiotic,antibiotic
NNS,NN,responses,responses
MD,MD,can,can
VB,VB,be,be
VBN,VB,caused,caused
IN,IN,by,by
DT,DT,either,either
JJ,JJ,genetic,genetic
CC,CC,or,or
JJ,JJ,physiological,physiological
NNS,NN,differences,differences
IN,IN,between,between
JJ,JJ,individual,individual
NNS,NN,bacteria,bacteria
DT,DT,The,the
JJ,JJ,toxic,toxic
NN,NN,effect,effect
IN,IN,of,of
DT,DT,an,an
JJ,JJ,antibiotic,antibiotic
MD,MD,may,may
VB,VB,occur,occur
IN,IN,at,at
JJ,JJ,different,different
NNS,NN,concentrations,concentrations
IN,IN,for,for
JJ,JJ,different,different
NNS,NN,individuals,individuals
IN,IN,because,because
DT,DT,some,some
VBP,VB,have,have
VBN,VB,acquired,acquired
NNS,NN,genes,genes
CC,CC,or,or
NNS,NN,alleles,alleles
IN,IN,through,through
NN,NN,mutation,mutation
CC,CC,or,or
JJ,JJ,horizontal,horizontal
NN,NN,gene,gene
NN,NN,transfer,transfer
JJ,JJ,i.e.,ie
NN,NN,change,change
IN,IN,in,in
NN,NN,genotype,genotype
RB,RB,Also,also
NNS,NN,organisms,organisms
MD,MD,can,can
VB,VB,have,have
JJ,JJ,innate,innate
NNS,NN,differences,differences
IN,IN,between,between
PRP,PR,them,them
RB,RB,e.g.,eg
JJ,JJ,due,due
TO,TO,to,to
NNS,NN,differences,differences
IN,IN,in,in
NN,NN,permeability,permeability
NNP,NN,Innate,innate
NN,NN,resistance,resistance
MD,MD,can,can
RB,RB,also,also
VB,VB,be,be
JJ,JJ,dependent,dependent
IN,IN,upon,upon
NNS,NN,genes,genes
VBD,VB,expressed,expressed
CC,CC,or,or
VBN,VB,repressed,repressed
RB,RB,conditionally,conditionally
VBG,VB,resulting,resulting
IN,IN,in,in
VBN,VB,increased,increased
NN,NN,efflux,efflux
CC,CC,or,or
VBN,VB,decreased,decreased
NN,NN,influx,influx
IN,IN,of,of
NNS,NN,antibiotics,antibiotics
CC,CC,and,and
JJ,JJ,overall,overall
JJR,JJ,lower,lower
JJ,JJ,intracellular,intracellular
JJ,JJ,antibiotic,antibiotic
NNS,NN,concentrations,concentrations
JJ,JJ,Such,such
NNS,NN,genes,genes
CC,CC,or,or
NN,NN,expression,expression
NN,NN,induction,induction
NNS,NN,thresholds,thresholds
MD,MD,may,may
VB,VB,differ,differ
IN,IN,between,between
NNS,NN,species,species
CC,CC,and,and
NNS,NN,individuals,individuals
IN,IN,within,within
DT,DT,a,a
NNS,NN,species,species
MD,MD,may,may
RB,RB,phenotypically,phenotypically
VB,VB,differ,differ
VBG,VB,depending,depending
IN,IN,on,on
IN,IN,whether,whether
CC,CC,or,or
RB,RB,not,not
PRP,PR,they,they
VBD,VB,expressed,expressed
DT,DT,those,those
NNS,NN,genes,genes
IN,IN,before,before
VBG,VB,being,being
VBN,VB,inhibited,inhibited
IN,IN,by,by
DT,DT,the,the
JJ,JJ,antibiotic,antibiotic
DT,DT,This,this
NN,NN,resistance,resistance
IN,IN,through,through
NNS,NN,changes,changes
IN,IN,in,in
NN,NN,gene,gene
NN,NN,expression,expression
VBZ,VB,is,is
RB,RB,also,also
VBN,VB,known,known
IN,IN,as,as
DT,DT,an,an
JJ,JJ,adaptive,adaptive
NN,NN,change,change
IN,IN,in,in
NN,NN,phenotype,phenotype
NN,NN,response,response
WDT,WD,which,which
VBZ,VB,acclimates,acclimates
NNS,NN,bacteria,bacteria
TO,TO,to,to
DT,DT,the,the
NN,NN,environment,environment
PRP,PR,It,it
MD,MD,can,can
VB,VB,be,be
VBN,VB,triggered,triggered
IN,IN,by,by
NNS,NN,antibiotics,antibiotics
CC,CC,and,and
JJ,JJ,other,other
NN,NN,chemical,chemical
NNS,NN,toxins,toxins
CC,CC,or,or
JJ,JJ,environmental,environmental
NNS,NN,cues,cues
PRP,PR,We,we
VBP,VB,have,have
RB,RB,previously,previously
VBN,VB,shown,shown
IN,IN,that,that
JJ,JJ,concurrent,concurrent
NN,NN,exposure,exposure
IN,IN,of,of
NNP,NN,Escherichia,escherichia
NN,NN,coli,coli
CC,CC,or,or
NNP,NN,Salmonella,salmonella
VBP,VB,enterica,enterica
NN,NN,sv,sv
NN,NN,Typhimurium,typhimurium
TO,TO,to,to
JJ,JJ,various,various
JJ,JJ,commercial,commercial
NNS,NN,herbicides,herbicides
CC,CC,and,and
NNS,NN,antibiotics,antibiotics
IN,IN,from,from
JJ,JJ,different,different
NNS,NN,classes,classes
MD,MD,can,can
VB,VB,lead,lead
TO,TO,to,to
JJ,JJ,adaptive,adaptive
NNS,NN,increases,increases
CC,CC,or,or
NNS,NN,decreases,decreases
IN,IN,in,in
PRP$,PR,their,their
NN,NN,susceptibility,susceptibility
TO,TO,to,to
DT,DT,the,the
NNS,NN,antibiotics,antibiotics
IN,IN,In,in
DT,DT,some,some
NNS,NN,cases,cases
NN,NN,herbicide,herbicide
NNS,NN,exposures,exposures
VBD,VB,changed,changed
DT,DT,the,the
NN,NN,survival,survival
IN,IN,at,at
JJ,JJ,below-MIC,belowmic
JJ,JJ,antibiotic,antibiotic
NNS,NN,concentrations,concentrations
IN,IN,of,of
JJ,JJ,antibiotic,antibiotic
IN,IN,while,while
NNP,NN,MIC,mic
PRP,PR,itself,itself
VBD,VB,was,was
RB,RB,not,not
VBN,VB,affected,affected
JJ,JJ,Adaptive,adaptive
NNS,NN,responses,responses
VBD,VB,were,were
JJ,JJ,specific,specific
IN,IN,for,for
DT,DT,the,the
NN,NN,combination,combination
IN,IN,of,of
NNS,NN,bacteria,bacteria
JJ,JJ,antibiotic,antibiotic
CC,CC,and,and
NN,NN,herbicide,herbicide
VBN,VB,used,used
NNS,NN,Effects,effects
VBD,VB,were,were
VBN,VB,shown,shown
IN,IN,for,for
JJ,JJ,commercial,commercial
NNS,NN,formulations,formulations
IN,IN,for,for
NN,NN,label,label
VBN,VB,listed,listed
JJ,JJ,active,active
NNS,NN,ingredients,ingredients
CC,CC,and,and
IN,IN,for,for
JJ,JJ,common,common
NNS,NN,adjuvants,adjuvants
NNS,NN,Populations,populations
IN,IN,of,of
RB,RB,adaptively,adaptively
JJ,JJ,resistant,resistant
NNS,NN,bacteria,bacteria
MD,MD,can,can
IN,IN,in,in
NN,NN,time,time
NN,NN,produce,produce
NNS,NN,variants,variants
IN,IN,with,with
VBN,VB,acquired,acquired
NN,NN,resistance,resistance
TO,TO,to,to
RB,RB,even,even
JJR,JJ,higher,higher
NNS,NN,concentrations,concentrations
IN,IN,of,of
JJ,JJ,antibiotic,antibiotic
DT,DT,This,this
VBZ,VB,raises,raises
DT,DT,the,the
NN,NN,possibility,possibility
IN,IN,that,that
JJ,JJ,environmental,environmental
NNS,NN,stimuli,stimuli
WDT,WD,that,that
VBP,VB,cause,cause
JJ,JJ,phenotypic,phenotypic
JJ,JJ,antibiotic,antibiotic
NN,NN,resistance,resistance
NN,NN,variation,variation
IN,IN,between,between
NNS,NN,individuals,individuals
MD,MD,could,could
VB,VB,be,be
NNS,NN,hotspots,hotspots
IN,IN,for,for
NN,NN,evolution,evolution
IN,IN,of,of
VBN,VB,acquired,acquired
JJ,JJ,antibiotic,antibiotic
NN,NN,resistance,resistance
RB,RB,Here,here
PRP,PR,we,we
VBP,VB,exploit,exploit
PRP$,PR,our,our
JJ,JJ,previous,previous
NNS,NN,observations,observations
TO,TO,to,to
VB,VB,test,test
DT,DT,the,the
JJ,JJ,novel,novel
NN,NN,hypothesis,hypothesis
IN,IN,that,that
DT,DT,both,both
JJ,JJ,adaptive,adaptive
NNS,NN,increases,increases
CC,CC,and,and
NNS,NN,decreases,decreases
IN,IN,in,in
JJ,JJ,antibiotic,antibiotic
NN,NN,susceptibility,susceptibility
VBN,VB,caused,caused
IN,IN,by,by
NN,NN,exposure,exposure
TO,TO,to,to
VB,VB,herbicide,herbicide
NNS,NN,formulations,formulations
MD,MD,can,can
VB,VB,lead,lead
TO,TO,to,to
DT,DT,an,an
NN,NN,increase,increase
IN,IN,in,in
DT,DT,the,the
NN,NN,rate,rate
IN,IN,of,of
VBN,VB,acquired,acquired
NN,NN,resistance,resistance
NN,NN,evolution,evolution
IN,IN,in,in
NNS,NN,populations,populations
IN,IN,of,of
NNP,NN,E.,e
NNS,NN,coli,coli
CC,CC,and,and
NNP,NN,S.,s
NN,NN,typhimurium,typhimurium
IN,IN,For,for
DT,DT,this,this
NN,NN,purpose,purpose
PRP,PR,we,we
VBD,VB,conducted,conducted
JJ,JJ,short,short
NN,NN,term,term
NN,NN,evolution,evolution
NNS,NN,experiments,experiments
VBG,VB,using,using
CC,CC,either,either
DT,DT,the,the
JJ,JJ,natural,natural
NN,NN,variability,variability
IN,IN,within,within
DT,DT,a,a
NN,NN,monoculture,monoculture
IN,IN,of,of
NNP,NN,E.,e
NNS,NN,coli,coli
CC,CC,or,or
NNP,NN,S.,s
NN,NN,typhimurium,typhimurium
CC,CC,or,or
JJ,JJ,isogenic,isogenic
NNS,NN,strains,strains
RB,RB,only,only
VBG,VB,differing,differing
IN,IN,in,in
PRP$,PR,their,their
NN,NN,level,level
IN,IN,of,of
JJ,JJ,antibiotic,antibiotic
NN,NN,resistance,resistance
WDT,WD,which,which
VBZ,VB,represents,represents
JJ,JJ,natural,natural
NN,NN,variability,variability
NNS,NN,Strains,strains
CC,CC,and,and
NNS,NN,plasmids,plasmids
VBP,VB,are,are
VBN,VB,listed,listed
IN,IN,in,in
NNS,NN,Bacteria,bacteria
VBD,VB,were,were
VBN,VB,grown,grown
IN,IN,in,in
JJ,JJ,standard,standard
JJ,JJ,rich,rich
NN,NN,growth,growth
NN,NN,medium,medium
NNP,NN,LB,lb
NNP,NN,Lennox,lennox
NNP,NN,Invitrogen,invitrogen
IN,IN,at,at
CD,CD,37,37
NNS,NN,°C,c
CC,CC,and,and
VBN,VB,supplemented,supplemented
IN,IN,with,with
NN,NN,ampicillin,ampicillin
NNP,NN,Amp,amp
NNP,NN,AppliChem,applichem
NN,NN,chloramphenicol,chloramphenicol
NNP,NN,Cam,cam
NNP,NN,Sigma,sigma
NN,NN,ciprofloxacin,ciprofloxacin
NNP,NN,Cip,cip
NNP,NN,Pentex,pentex
FW,FW,streptomycin,streptomycin
NNP,NN,Str,str
NNP,NN,Sigma,sigma
NN,NN,tetracycline,tetracycline
NNP,NN,Tet,tet
NNP,NN,Sigma,sigma
CC,CC,or,or
JJ,JJ,nalidixic,nalidixic
NN,NN,acid,acid
NNP,NN,Nal,nal
NNP,NN,Sigma,sigma
IN,IN,as,as
NN,NN,appropriate,appropriate
JJ,JJ,Liquid,liquid
NNS,NN,cultures,cultures
VBD,VB,were,were
VBN,VB,grown,grown
IN,IN,with,with
NN,NN,aeration,aeration
CD,CD,180,180
NN,NN,rpm,rpm
CC,CC,and,and
NNS,NN,plates,plates
VBD,VB,were,were
VBN,VB,incubated,incubated
IN,IN,in,in
NN,NN,plastic,plastic
NNS,NN,bags,bags
TO,TO,to,to
VB,VB,avoid,avoid
VBG,VB,drying,drying
RP,RP,out,out
JJ,JJ,Commercial,commercial
NN,NN,herbicide,herbicide
NNS,NN,formulations,formulations
VBN,VB,used,used
VBD,VB,were,were
NNP,NN,Kamba500,kamba500
NNP,NN,Nufarm,nufarm
NNP,NN,NZ,nz
VBG,VB,containing,containing
CD,CD,500,500
JJ,JJ,g/L,gl
NN,NN,dimethyl,dimethyl
NN,NN,salt,salt
IN,IN,of,of
NN,NN,dicamba,dicamba
CC,CC,and,and
NNP,NN,Roundup,roundup
NNP,NN,Weedkiller,weedkiller
NNP,NN,Monsanto,monsanto
NNP,NN,Australia,australia
VBG,VB,containing,containing
CD,CD,360,360
JJ,JJ,g/L,gl
NN,NN,isopropylamine,isopropylamine
NN,NN,salt,salt
IN,IN,of,of
NN,NN,glyphosate,glyphosate
NNP,NN,Herbicide,herbicide
NNS,NN,concentrations,concentrations
VBP,VB,are,are
VBN,VB,reported,reported
IN,IN,in,in
NNS,NN,parts,parts
IN,IN,per,per
CD,CD,million,million
JJ,JJ,acid,acid
NN,NN,equivalent,equivalent
JJ,JJ,ppm,ppm
NN,NN,ae,ae
IN,IN,of,of
DT,DT,the,the
JJ,JJ,active,active
NN,NN,ingredient,ingredient
TO,TO,to,to
VB,VB,allow,allow
IN,IN,for,for
NN,NN,comparison,comparison
IN,IN,with,with
JJ,JJ,other,other
NNS,NN,formulations,formulations
JJ,JJ,Antibiotic,antibiotic
CC,CC,and,and
JJ,JJ,herbicide,herbicide
NNS,NN,concentrations,concentrations
VBN,VB,used,used
VBP,VB,are,are
VBN,VB,specified,specified
IN,IN,in,in
DT,DT,the,the
JJ,JJ,main,main
NN,NN,text,text
CC,CC,or,or
IN,IN,in,in
JJ,JJ,figure,figure
NNS,NN,legends,legends
NNS,NN,Notes,notes
NNP,NN,Kamba,kamba
VBD,VB,added,added
IN,IN,at,at
CD,CD,"1,830",1830
NN,NN,ppm,ppm
NN,NN,ae,ae
NNP,NN,Roundup,roundup
VBD,VB,added,added
IN,IN,at,at
CD,CD,"1,240",1240
NN,NN,ppm,ppm
NN,NN,ae,ae
NN,NN,pBR322,pbr322
VBD,VB,was,was
VBN,VB,used,used
IN,IN,as,as
DT,DT,the,the
NN,NN,base,base
TO,TO,to,to
VB,VB,create,create
DT,DT,a,a
NN,NN,pair,pair
IN,IN,of,of
NNS,NN,plasmids,plasmids
IN,IN,that,that
RB,RB,only,only
VBN,VB,differed,differed
IN,IN,in,in
JJ,JJ,antibiotic,antibiotic
NN,NN,resistance,resistance
NNS,NN,determinants,determinants
NNP,NN,Plasmid,plasmid
NN,NN,pAH14,pah14
VBD,VB,was,was
VBN,VB,created,created
IN,IN,by,by
VBG,VB,deleting,deleting
DT,DT,a,a
NN,NN,section,section
IN,IN,of,of
DT,DT,the,the
NN,NN,gene,gene
IN,IN,for,for
NNP,NN,TetR,tetr
IN,IN,by,by
VBG,VB,removing,removing
DT,DT,the,the
NNP,NN,HindIII,hindiii
CC,CC,and,and
NNP,NN,BamHI,bamhi
NN,NN,fragment,fragment
IN,IN,of,of
NN,NN,pBR322,pbr322
CC,CC,and,and
VBG,VB,inserting,inserting
NN,NN,cat,cat
IN,IN,from,from
NN,NN,pACYC184,pacyc184
IN,IN,at,at
DT,DT,the,the
NNP,NN,PstI,psti
NN,NN,site,site
IN,IN,within,within
NN,NN,bla,bla
DT,DT,The,the
VBG,VB,resulting,resulting
NN,NN,plasmid,plasmid
VBD,VB,conferred,conferred
NN,NN,resistance,resistance
TO,TO,to,to
VB,VB,chloramphenicol,chloramphenicol
CC,CC,but,but
RB,RB,not,not
TO,TO,to,to
VB,VB,ampicillin,ampicillin
CC,CC,or,or
VB,VB,tetracycline,tetracycline
NNP,NN,CamR,camr
NNP,NN,AmpS,amps
NNP,NN,TetS,tets
NNP,NN,RSF1010,rsf1010
VBD,VB,was,was
DT,DT,the,the
NN,NN,base,base
IN,IN,for,for
NN,NN,pAH11,pah11
WDT,WD,which,which
VBD,VB,was,was
VBN,VB,created,created
IN,IN,by,by
NN,NN,insertion,insertion
IN,IN,of,of
NN,NN,cat,cat
IN,IN,from,from
NN,NN,pACYC184,pacyc184
IN,IN,into,into
DT,DT,the,the
NNP,NN,EcoRI,ecori
CC,CC,and,and
NNP,NN,NotI,noti
NNS,NN,sites,sites
IN,IN,of,of
NNP,NN,RSF1010,rsf1010
VBG,VB,resulting,resulting
IN,IN,in,in
DT,DT,a,a
NN,NN,plasmid,plasmid
VBG,VB,conferring,conferring
NNS,NN,chloramphenicol,chloramphenicol
CC,CC,but,but
RB,RB,not,not
JJ,JJ,streptomycin,streptomycin
NN,NN,resistance,resistance
NNP,NN,CamR,camr
NNP,NN,StrS,strs
IN,IN,For,for
DT,DT,the,the
NNS,NN,experiments,experiments
VBN,VB,described,described
IN,IN,in,in
DT,DT,the,the
NN,NN,section,section
NNP,NN,Evolution,evolution
IN,IN,of,of
VBN,VB,acquired,acquired
JJ,JJ,antibiotic,antibiotic
NN,NN,resistance,resistance
IN,IN,in,in
NNS,NN,cultures,cultures
IN,IN,with,with
JJ,JJ,herbicide-induced,herbicideinduced
NNS,NN,increases,increases
IN,IN,in,in
NNP,NN,MIC,mic
NNP,NN,E.,e
NNS,NN,coli,coli
CC,CC,or,or
NNP,NN,S.,s
NN,NN,typhimurium,typhimurium
VBD,VB,were,were
VBN,VB,grown,grown
IN,IN,for,for
CD,CD,24,24
NN,NN,h,h
IN,IN,in,in
CD,CD,10,10
NNS,NN,mL,ml
JJ,JJ,liquid,liquid
NNP,NN,LB,lb
NN,NN,medium,medium
VBG,VB,containing,containing
NNP,NN,Cip,cip
NN,NN,herbicide,herbicide
DT,DT,both,both
CC,CC,or,or
DT,DT,neither,neither
JJ,JJ,Initial,initial
NNS,NN,densities,densities
VBD,VB,were,were
MD,MD,ca,ca
CD,CD,105,105
NN,NN,cfu/mL,cfuml
IN,IN,for,for
DT,DT,the,the
JJ,JJ,former,former
NN,NN,treatment,treatment
CC,CC,and,and
MD,MD,ca,ca
CD,CD,106,106
NN,NN,cfu/mL,cfuml
NNP,NN,E.,e
NNS,NN,coli,coli
CC,CC,and,and
CD,CD,105,105
NN,NN,cfu/mL,cfuml
NNP,NN,S.,s
